Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Hive Network_upgraded,Do [sword]2 damage|[sword]+2 for every errored item,1,attack(2 + e.getvar(~errorcount~) * 2); sfxdamage(2 + e.getvar(~errorcount~) * 2);,,ODD,,,change_power,change_power,,,0,NO,NO,errorimmune|robotonly,,,,e.setvar(~errorcount~[;] 0); e.setvar(~checkequips~[;] true); e.setvar(~displayerrorcount~[;] 2); e.fulldescription = ~Do [sword]~ + e.getvar(~displayerrorcount~) + ~ damage[newline][sword]+2 for every errored item~;,,if(self.roll_error && e.getvar(~checkequips~)){ for(eq in self.equipment){ if(eq.getvar(~triggered~) # (!(eq.containsadicealready() # (eq.maxcountdown > 0 && eq.remainingcountdown == 0)) && !eq.ready)){ e.setvar(~errorcount~[;] e.getvar(~errorcount~) + 1); e.setvar(~displayerrorcount~[;] (e.getvar(~errorcount~) * 2) + 2); e.fulldescription = ~Do [sword]~ + e.getvar(~displayerrorcount~) + ~ damage[newline][sword]+2 for every errored item~; } } e.setvar(~checkequips~[;] false); },,,,,,
Hive Network_weakened,Do [sword]2 damage,1,attack(2); sfxdamage(2);,,ODD,,,change_power,change_power,,,0,NO,NO,errorimmune|robotonly,,,,,,,,,,,,
Hive Network_downgraded,Do [sword]2 damage,1,attack(2); sfxdamage(2);,,ODD,,,change_power,change_power,,,0,NO,NO,errorimmune|robotonly,,,,,,,,,,,,
Pop Off_downgraded,Gain [jackpotshard]1 jackpot shard when|you trigger a jackpot|[75%][grey](Autoroll next turn on 4),1,,,,,YELLOW,,,,,0,NO,NO,robotonly|cannotsteal,,,,,e.setvar(~doaction~[;] true);,if(self.roll_jackpot > 0 && e.getvar(~doaction~)){ inflictself(~jackpotshard~[;] 1); sfx(~_leverpull~); e.setvar(~doaction~[;] false); },,,,,,
BSOD,|When you trigger an error[;]|jackpot with 1 skill useable||[75%][grey]PERMANENT UPGRADE ON|[75%][grey]PICKUP[;] DOES NOTHING ELSE,1,,,,,,,,,,0,NO,NO,excludefromrandomlists|robotonly|cannotsteal|errorimmune,,e.fulldescription = ~No effect[;] permanent buff[newline]has already triggered~;,,,,,,,,,,
Big Bertha,|Every jackpot skill has a 33%|chance to be [yellow]upgraded||[75%][grey]PERMANENT UPGRADE ON|[75%][grey]PICKUP[;] DOES NOTHING ELSE,1,,,,,YELLOW,,,,,0,NO,NO,cannotsteal|excludefromrandomlists|robotonly|nojackpotcopy,,e.fulldescription = ~No effect[;] permanent buff[newline]has already triggered~;,,,,,,,,,,
Rng Manipulation_upgraded,Get a jackpot[;] without|rolling any extra dice,1,self.roll_range += self.roll_target; adjustrobotcounter(0);,,REQUIRE3,,YELLOW,change_power,change_power,,,0,YES,NO,robotonly|nojackpotcopy|weakenavoid,,,,,,,,,,,,
Trickle Charge_weakened,Gain [jackpotshard]1 jackpot shard|[75%][grey](Automatic Autoroll on 4),1,inflictself(~jackpotshard~[;]1); sfx(~_leverpull~);,,MAX2,,ORANGE,change_power,change_function,,,0,YES,NO,robotonly|cannotsteal,,,,,,,,,,,,
Retuner_downgraded,On error[;] replace this |with a random equipment[;]|and weaken it,1,,,,,,change_power,,,,0,NO,NO,cannotsteal|robotonly|triggeronerror|errorimmune,,,,,e.setvar(~doeffect~[;]1);,if(self.roll_error && e.ready){ var replaceEquip = rand(getequipmentlist(null[;][~small~][;][~skillcard~[;]~excludefromrandomlists~[;]~witchonly~[;]~onceperbattle~[;]~alternateversion~])); var s = new elements.Skill(~Against all odds_old~); var t = new elements.Skill(~Against all odds_old~); s.script = ~giveequipment('~ + replaceEquip + ~');~; t.script = ~self.equipment[self.equipment.length - 2].downgrade();~; var act = new motion.actuators.SimpleActuator(null[;]0.15[;]null); var act2 = new motion.actuators.SimpleActuator(null[;]1.3[;]null); act.onComplete(s.execute[;][self[;]target]); act.move(); act2.onComplete(t.execute[;][self[;]target]); act2.move(); e.animate(~error~); e.ready = false; },,,,,,
Bonus Slot,Get an extra jackpot skill to|choose from whenever|you hit a jackpot,1,,,,,PINK,change_power,,,,0,NO,NO,extrajackpotskill|weakenimmune|nojackpotcopy|excludefromrandomlists,,inflictself(~extrajackpotskill~[;] 1);,,,,,,,,,,
Bonus Slot_upgraded,Get 2 extra jackpot skills to|choose from whenever|you hit a jackpot,1,,,,,PINK,change_power,,,,0,NO,NO,extrajackpotskill|weakenimmune,,inflictself(~extrajackpotskill~[;] 2);,,,,,,,,,,
Salt In The Wound,Do [sword]<d6> damage[;] on|jackpot[;] [poison]<d6> instead,1,if(self.roll_jackpot){ inflict(~poison~[;]d); sfx(~_poison~); } else{ attack(d); sfxdamage(d); },,NORMAL,,YELLOW,add1,complicate,,,0,NO,NO,robotonly,,,,,,,,,,,,
Slimy Payload,Add [virus]3 virus,1,inflict(~virus~[;] 3); sfx(~roboterror~);,,ODD,,GRAY,change_power,change_power,,,0,NO,NO,cannotsteal|excludefromrandomlists|robotenemyonly,,,,,,,,,,,,
Slimy Payload_upgraded,Add [virus]4 virus,1,inflict(~virus~[;] 4); sfx(~roboterror~);,,ODD,,GRAY,change_power,change_power,,,0,NO,NO,cannotsteal|excludefromrandomlists|robotenemyonly,,,,,,,,,,,,
Slimy Payload_weakened,Add [virus]2 virus,1,inflict(~virus~[;] 2); sfx(~roboterror~);,,ODD,,GRAY,change_power,change_power,,,0,NO,NO,cannotsteal|excludefromrandomlists|robotenemyonly,,,,,,,,,,,,
Safety Knife,Split a dice in two[;] on error[;]|bump resulting dice,1,var bump = 0; if(self.roll_error){ bump = 1; }  var numberarray = []; for(i in 1...d){ numberarray.push(i); } var firstdiceval = d - (rand(numberarray)); givedice([firstdiceval + bump[;] d - firstdiceval + bump]);,,MAX5,,,simplify,decreaserange,,,0,YES,NO,robotonly|errorimmune,,,,,,,,,,,,
Capitalize,Do [sword]<d6>[;] [sword]<double> instead|if enemy hit jackpot,2,var mult = 1; if(target.roll_jackpot){ mult = 2; }  attack(d * mult); sfxdamage(d * mult);,,MAX5,,YELLOW,change_power,decreaserange,,,0,NO,NO,excludefromrandomlists|cannotsteal|robotenemyonly,,,,,,,,,,,,
Capitalize_upgraded,Do [sword]<d6>[;] [sword]<triple> instead|if enemy hit jackpot,2,var mult = 1; if(target.roll_jackpot){ mult = 3; }  attack(d * mult); sfxdamage(d * mult);,,MAX5,,YELLOW,change_power,,,,0,NO,NO,cannotsteal|excludefromrandomlists|robotenemyonly,,,,,,,,,,,,
Exploit,Gain [shield]<d6>[;] [shield]<double> instead |if enemy triggered error,2,var mult = 1; if(target.roll_error){ mult = 2; } inflictself(~shield~[;] d * mult); sfx(~_shield~);,,MAX5,,,change_power,decreaserange,,,0,YES,NO,cannotsteal|excludefromrandomlists|robotenemyonly,,,,if(target.roll_error){ e.script += ~bonus(10000);~; },,,,e.script = ~var mult = 1; if(target.roll_error){ mult = 2; } inflictself(\~shield\~[;] d * mult); sfx(\~_shield\~); ~,,,,
Exploit_upgraded,Gain [shield]<d6>[;] [shield]<triple> instead |if enemy triggered error,2,var mult = 1; if(target.roll_error){ mult = 3; } inflictself(~shield~[;] d * mult); sfx(~_shield~);,,MAX5,,,change_power,decreaserange,,,0,YES,NO,cannotsteal|excludefromrandomlists|robotenemyonly,,,,if(target.roll_error){ e.script += ~bonus(10000);~; },,,,e.script = ~var mult = 1; if(target.roll_error){ mult = 3; } inflictself(\~shield\~[;] d * mult); sfx(\~_shield\~); ~,,,,
Copied Skill,This will turn into your 1st|jackpot skill at the start of|Copycat's turn,2,,,COUNTDOWN,4,BLACK,,,,,0,NO,NO,,,,,,,,,,,,,
Slimy Payload_downgraded,Add [virus]2 virus,1,inflict(~virus~[;] 2); sfx(~roboterror~);,,ODD,,GRAY,change_power,change_power,,,0,NO,NO,cannotsteal|excludefromrandomlists|robotenemyonly,,,,,,,,,,,,
Egg Basket,Combine dice into 1[;]|re-useable once on jackpot,1,givedice([d]);,,NORMAL|NORMAL,,YELLOW,change_power,change_power,,,0,YES,NO,robotonly,,,,e.setvar(~reuse~[;] true);,,,,,if(self.roll_jackpot && e.getvar(~reuse~)) { inflictself(REEQUIPNEXT); sfx(~_recycle~[;]~~[;]0.2); e.setvar(~reuse~[;] false); },,,
Egg Basket_upgraded,Combine dice into 1[;]|re-useable on jackpot,1,givedice([d]);,,NORMAL|NORMAL,,YELLOW,change_power,change_power,,,0,YES,NO,robotonly,,,,,,,,,if(self.roll_jackpot) { inflictself(REEQUIPNEXT); sfx(~_recycle~[;]~~[;]0.2); },,,
Egg Basket_weakened,Combine dice into 1,1,givedice([d]);,,NORMAL|NORMAL,,YELLOW,change_power,change_power,,,0,YES,NO,robotonly,,,,,,,,,,,,
Egg Basket_downgraded,Combine dice into 1,1,givedice([d]);,,NORMAL|NORMAL,,YELLOW,change_power,change_power,,,0,YES,NO,robotonly,,,,,,,,,,,,
Trickle Charge_downgraded,Gain [jackpotshard]1 jackpot shard|[75%][grey](Automatic Autoroll on 4),1,inflictself(~jackpotshard~[;]1); sfx(~_leverpull~);,,MAX2,,ORANGE,change_power,change_function,,,0,YES,NO,robotonly|cannotsteal,,,,,,,,,,,,
